,movie,year,imdb,metascore,votes,n_imdb
2311,Happy Gilmore,1996,7.0,31,182815,70.0
2312,Sleepers,1996,7.6,49,176917,76.0
2313,The English Patient,1996,7.4,87,167697,74.0
2314,Primal Fear,1996,7.7,47,167035,77.0
2315,Twister,1996,6.4,68,164104,64.0
2316,Space Jam,1996,6.4,59,144167,64.0
2317,The Cable Guy,1996,6.1,56,143230,61.0
2318,The Hunchback of Notre Dame,1996,6.9,74,130016,69.0
2319,A Time to Kill,1996,7.5,54,120966,75.0
2320,Matilda,1996,6.9,72,114016,69.0
2321,Ransom,1996,6.6,60,112291,66.0
2322,Star Trek: First Contact,1996,7.6,71,111489,76.0
2323,The Nutty Professor,1996,5.6,62,102816,56.0
2324,Eraser,1996,6.1,56,97972,61.0
2325,101 Dalmatians,1996,5.7,49,93970,57.0
2326,Broken Arrow,1996,6.0,61,86543,60.0
2327,Jingle All the Way,1996,5.6,34,84500,56.0
2328,The People vs. Larry Flynt,1996,7.3,79,83218,73.0
2329,Sling Blade,1996,8.0,84,82456,80.0
2330,The Frighteners,1996,7.1,52,77580,71.0
2331,The Birdcage,1996,7.1,72,74129,71.0
2332,Kingpin,1996,6.9,43,72526,69.0
2333,Swingers,1996,7.2,71,71805,72.0
2334,Phenomenon,1996,6.4,41,71570,64.0
2335,The Long Kiss Goodnight,1996,6.8,44,68230,68.0
2336,Escape from L.A.,1996,5.7,54,65156,57.0
2337,Bottle Rocket,1996,7.0,66,65002,70.0
2338,Breaking the Waves,1996,7.9,76,58036,79.0
2339,That Thing You Do!,1996,6.9,71,57512,69.0
2340,Jack,1996,5.8,31,53194,58.0
2341,Shine,1996,7.7,87,48975,77.0
2342,Trainspotting,1996,8.1,83,596320,81.0
2343,Fargo,1996,8.1,85,569583,81.0
2344,Independence Day,1996,7.0,59,501087,70.0
2345,Mission: Impossible,1996,7.1,59,363643,71.0
2346,The Rock,1996,7.4,58,296094,74.0
2347,From Dusk Till Dawn,1996,7.2,48,267059,72.0
2348,Scream,1996,7.2,65,264243,72.0
2349,Jerry Maguire,1996,7.3,77,225364,73.0
2350,Mars Attacks!,1996,6.3,52,198867,63.0
2351,Romeo + Juliet,1996,6.7,60,197811,67.0
2352,Happy Gilmore,1996,7.0,31,182815,70.0
2353,Sleepers,1996,7.6,49,176917,76.0
2354,The English Patient,1996,7.4,87,167697,74.0
2355,Primal Fear,1996,7.7,47,167035,77.0
2356,Twister,1996,6.4,68,164104,64.0
2357,Space Jam,1996,6.4,59,144167,64.0
2358,The Cable Guy,1996,6.1,56,143230,61.0
2359,The Hunchback of Notre Dame,1996,6.9,74,130016,69.0
2360,A Time to Kill,1996,7.5,54,120966,75.0
2361,Matilda,1996,6.9,72,114016,69.0
2362,Ransom,1996,6.6,60,112291,66.0
2363,Star Trek: First Contact,1996,7.6,71,111489,76.0
2364,The Nutty Professor,1996,5.6,62,102816,56.0
2365,Eraser,1996,6.1,56,97972,61.0
2366,101 Dalmatians,1996,5.7,49,93970,57.0
2367,Broken Arrow,1996,6.0,61,86543,60.0
2368,Jingle All the Way,1996,5.6,34,84500,56.0
2369,The People vs. Larry Flynt,1996,7.3,79,83218,73.0
2370,Sling Blade,1996,8.0,84,82456,80.0
2371,The Frighteners,1996,7.1,52,77580,71.0
2372,The Birdcage,1996,7.1,72,74129,71.0
2373,Kingpin,1996,6.9,43,72526,69.0
2374,Swingers,1996,7.2,71,71805,72.0
2375,Phenomenon,1996,6.4,41,71570,64.0
2376,The Long Kiss Goodnight,1996,6.8,44,68230,68.0
2377,Escape from L.A.,1996,5.7,54,65156,57.0
2378,Bottle Rocket,1996,7.0,66,65002,70.0
2379,Breaking the Waves,1996,7.9,76,58036,79.0
2380,That Thing You Do!,1996,6.9,71,57512,69.0
2381,Jack,1996,5.8,31,53194,58.0
2382,Shine,1996,7.7,87,48975,77.0
2383,Trainspotting,1996,8.1,83,596320,81.0
2384,Fargo,1996,8.1,85,569583,81.0
2385,Independence Day,1996,7.0,59,501087,70.0
2386,Mission: Impossible,1996,7.1,59,363643,71.0
2387,The Rock,1996,7.4,58,296094,74.0
2388,From Dusk Till Dawn,1996,7.2,48,267059,72.0
2389,Scream,1996,7.2,65,264243,72.0
2390,Jerry Maguire,1996,7.3,77,225364,73.0
2391,Mars Attacks!,1996,6.3,52,198867,63.0
2392,Romeo + Juliet,1996,6.7,60,197811,67.0
2393,Happy Gilmore,1996,7.0,31,182815,70.0
2394,Sleepers,1996,7.6,49,176917,76.0
2395,The English Patient,1996,7.4,87,167697,74.0
2396,Primal Fear,1996,7.7,47,167035,77.0
2397,Twister,1996,6.4,68,164104,64.0
2398,Space Jam,1996,6.4,59,144167,64.0
2399,The Cable Guy,1996,6.1,56,143230,61.0
2400,The Hunchback of Notre Dame,1996,6.9,74,130016,69.0
2401,A Time to Kill,1996,7.5,54,120966,75.0
2402,Matilda,1996,6.9,72,114016,69.0
2403,Ransom,1996,6.6,60,112291,66.0
2404,Star Trek: First Contact,1996,7.6,71,111489,76.0
2405,The Nutty Professor,1996,5.6,62,102816,56.0
2406,Eraser,1996,6.1,56,97972,61.0
2407,101 Dalmatians,1996,5.7,49,93970,57.0
2408,Broken Arrow,1996,6.0,61,86543,60.0
2409,Jingle All the Way,1996,5.6,34,84500,56.0
2410,The People vs. Larry Flynt,1996,7.3,79,83218,73.0
2411,Sling Blade,1996,8.0,84,82456,80.0
2412,The Frighteners,1996,7.1,52,77580,71.0
2413,The Birdcage,1996,7.1,72,74129,71.0
2414,Kingpin,1996,6.9,43,72526,69.0
2415,Swingers,1996,7.2,71,71805,72.0
2416,Phenomenon,1996,6.4,41,71570,64.0
2417,The Long Kiss Goodnight,1996,6.8,44,68230,68.0
2418,Escape from L.A.,1996,5.7,54,65156,57.0
2419,Bottle Rocket,1996,7.0,66,65002,70.0
2420,Breaking the Waves,1996,7.9,76,58036,79.0
2421,That Thing You Do!,1996,6.9,71,57512,69.0
2422,Jack,1996,5.8,31,53194,58.0
2423,Shine,1996,7.7,87,48975,77.0
2424,Trainspotting,1996,8.1,83,596320,81.0
2425,Fargo,1996,8.1,85,569583,81.0
2426,Independence Day,1996,7.0,59,501087,70.0
2427,Mission: Impossible,1996,7.1,59,363643,71.0
2428,The Rock,1996,7.4,58,296094,74.0
2429,From Dusk Till Dawn,1996,7.2,48,267059,72.0
2430,Scream,1996,7.2,65,264243,72.0
2431,Jerry Maguire,1996,7.3,77,225364,73.0
2432,Mars Attacks!,1996,6.3,52,198867,63.0
2433,Romeo + Juliet,1996,6.7,60,197811,67.0
2434,Happy Gilmore,1996,7.0,31,182815,70.0
2435,Sleepers,1996,7.6,49,176917,76.0
2436,The English Patient,1996,7.4,87,167697,74.0
2437,Primal Fear,1996,7.7,47,167035,77.0
2438,Twister,1996,6.4,68,164104,64.0
2439,Space Jam,1996,6.4,59,144167,64.0
2440,The Cable Guy,1996,6.1,56,143230,61.0
2441,The Hunchback of Notre Dame,1996,6.9,74,130016,69.0
2442,A Time to Kill,1996,7.5,54,120966,75.0
2443,Matilda,1996,6.9,72,114016,69.0
2444,Ransom,1996,6.6,60,112291,66.0
2445,Star Trek: First Contact,1996,7.6,71,111489,76.0
2446,The Nutty Professor,1996,5.6,62,102816,56.0
2447,Eraser,1996,6.1,56,97972,61.0
2448,101 Dalmatians,1996,5.7,49,93970,57.0
2449,Broken Arrow,1996,6.0,61,86543,60.0
2450,Jingle All the Way,1996,5.6,34,84500,56.0
2451,The People vs. Larry Flynt,1996,7.3,79,83218,73.0
2452,Sling Blade,1996,8.0,84,82456,80.0
2453,The Frighteners,1996,7.1,52,77580,71.0
2454,The Birdcage,1996,7.1,72,74129,71.0
2455,Kingpin,1996,6.9,43,72526,69.0
2456,Swingers,1996,7.2,71,71805,72.0
2457,Phenomenon,1996,6.4,41,71570,64.0
2458,The Long Kiss Goodnight,1996,6.8,44,68230,68.0
2459,Escape from L.A.,1996,5.7,54,65156,57.0
2460,Bottle Rocket,1996,7.0,66,65002,70.0
2461,Breaking the Waves,1996,7.9,76,58036,79.0
2462,That Thing You Do!,1996,6.9,71,57512,69.0
2463,Jack,1996,5.8,31,53194,58.0
2464,Shine,1996,7.7,87,48975,77.0
2465,Trainspotting,1996,8.1,83,596320,81.0
2466,Fargo,1996,8.1,85,569583,81.0
2467,Independence Day,1996,7.0,59,501087,70.0
2468,Mission: Impossible,1996,7.1,59,363643,71.0
2469,The Rock,1996,7.4,58,296094,74.0
2470,From Dusk Till Dawn,1996,7.2,48,267059,72.0
2471,Scream,1996,7.2,65,264243,72.0
2472,Jerry Maguire,1996,7.3,77,225364,73.0
2473,Mars Attacks!,1996,6.3,52,198867,63.0
2474,Romeo + Juliet,1996,6.7,60,197811,67.0
2475,Happy Gilmore,1996,7.0,31,182815,70.0
2476,Sleepers,1996,7.6,49,176917,76.0
2477,The English Patient,1996,7.4,87,167697,74.0
2478,Primal Fear,1996,7.7,47,167035,77.0
2479,Twister,1996,6.4,68,164104,64.0
2480,Space Jam,1996,6.4,59,144167,64.0
2481,The Cable Guy,1996,6.1,56,143230,61.0
2482,The Hunchback of Notre Dame,1996,6.9,74,130016,69.0
2483,A Time to Kill,1996,7.5,54,120966,75.0
2484,Matilda,1996,6.9,72,114016,69.0
2485,Ransom,1996,6.6,60,112291,66.0
2486,Star Trek: First Contact,1996,7.6,71,111489,76.0
2487,The Nutty Professor,1996,5.6,62,102816,56.0
2488,Eraser,1996,6.1,56,97972,61.0
2489,101 Dalmatians,1996,5.7,49,93970,57.0
2490,Broken Arrow,1996,6.0,61,86543,60.0
2491,Jingle All the Way,1996,5.6,34,84500,56.0
2492,The People vs. Larry Flynt,1996,7.3,79,83218,73.0
2493,Sling Blade,1996,8.0,84,82456,80.0
2494,The Frighteners,1996,7.1,52,77580,71.0
2495,The Birdcage,1996,7.1,72,74129,71.0
2496,Kingpin,1996,6.9,43,72526,69.0
2497,Swingers,1996,7.2,71,71805,72.0
2498,Phenomenon,1996,6.4,41,71570,64.0
2499,The Long Kiss Goodnight,1996,6.8,44,68230,68.0
2500,Escape from L.A.,1996,5.7,54,65156,57.0
2501,Bottle Rocket,1996,7.0,66,65002,70.0
2502,Breaking the Waves,1996,7.9,76,58036,79.0
2503,That Thing You Do!,1996,6.9,71,57512,69.0
2504,Jack,1996,5.8,31,53194,58.0
2505,Shine,1996,7.7,87,48975,77.0
2506,Trainspotting,1996,8.1,83,596320,81.0
2507,Fargo,1996,8.1,85,569583,81.0
2508,Independence Day,1996,7.0,59,501087,70.0
2509,Mission: Impossible,1996,7.1,59,363643,71.0
2510,The Rock,1996,7.4,58,296094,74.0
2511,From Dusk Till Dawn,1996,7.2,48,267059,72.0
2512,Scream,1996,7.2,65,264243,72.0
2513,Jerry Maguire,1996,7.3,77,225364,73.0
2514,Mars Attacks!,1996,6.3,52,198867,63.0
2515,Romeo + Juliet,1996,6.7,60,197811,67.0
2516,Happy Gilmore,1996,7.0,31,182815,70.0
2517,Sleepers,1996,7.6,49,176917,76.0
2518,The English Patient,1996,7.4,87,167697,74.0
2519,Primal Fear,1996,7.7,47,167035,77.0
2520,Twister,1996,6.4,68,164104,64.0
2521,Space Jam,1996,6.4,59,144167,64.0
2522,The Cable Guy,1996,6.1,56,143230,61.0
2523,The Hunchback of Notre Dame,1996,6.9,74,130016,69.0
2524,A Time to Kill,1996,7.5,54,120966,75.0
2525,Matilda,1996,6.9,72,114016,69.0
2526,Ransom,1996,6.6,60,112291,66.0
2527,Star Trek: First Contact,1996,7.6,71,111489,76.0
2528,The Nutty Professor,1996,5.6,62,102816,56.0
2529,Eraser,1996,6.1,56,97972,61.0
2530,101 Dalmatians,1996,5.7,49,93970,57.0
2531,Broken Arrow,1996,6.0,61,86543,60.0
2532,Jingle All the Way,1996,5.6,34,84500,56.0
2533,The People vs. Larry Flynt,1996,7.3,79,83218,73.0
2534,Sling Blade,1996,8.0,84,82456,80.0
2535,The Frighteners,1996,7.1,52,77580,71.0
2536,The Birdcage,1996,7.1,72,74129,71.0
2537,Kingpin,1996,6.9,43,72526,69.0
2538,Swingers,1996,7.2,71,71805,72.0
2539,Phenomenon,1996,6.4,41,71570,64.0
2540,The Long Kiss Goodnight,1996,6.8,44,68230,68.0
2541,Escape from L.A.,1996,5.7,54,65156,57.0
2542,Bottle Rocket,1996,7.0,66,65002,70.0
2543,Breaking the Waves,1996,7.9,76,58036,79.0
2544,That Thing You Do!,1996,6.9,71,57512,69.0
2545,Jack,1996,5.8,31,53194,58.0
2546,Shine,1996,7.7,87,48975,77.0
2547,Titanic,1997,7.8,75,972177,78.0
2548,Good Will Hunting,1997,8.3,70,781316,83.0
2549,La vita è bella,1997,8.6,59,563951,86.0
2550,L.A. Confidential,1997,8.2,90,499711,82.0
2551,Men in Black,1997,7.3,71,484203,73.0
2552,The Fifth Element,1997,7.7,52,408189,77.0
2553,The Lost World: Jurassic Park,1997,6.6,59,351096,66.0
2554,Face/Off,1997,7.3,82,329904,73.0
2555,The Game,1997,7.8,61,319313,78.0
2556,The Devil's Advocate,1997,7.5,60,306152,75.0
2557,Mononoke-hime,1997,8.4,76,300631,84.0
2558,Jackie Brown,1997,7.5,64,290687,75.0
2559,Gattaca,1997,7.8,64,263993,78.0
2560,Liar Liar,1997,6.9,70,263421,69.0
2561,Con Air,1997,6.9,52,260341,69.0
2562,Donnie Brasco,1997,7.7,76,257766,77.0
2563,As Good as It Gets,1997,7.7,67,257627,77.0
2564,Starship Troopers,1997,7.2,51,253403,72.0
2565,Contact,1997,7.4,62,238504,74.0
2566,Boogie Nights,1997,7.9,85,222327,79.0
2567,Batman & Robin,1997,3.7,28,220898,37.0
2568,Alien: Resurrection,1997,6.2,63,213973,62.0
2569,Austin Powers: International Man of Mystery,1997,7.0,51,209584,70.0
2570,Cube,1997,7.2,61,195257,72.0
2571,Hercules,1997,7.3,74,186569,73.0
2572,Tomorrow Never Dies,1997,6.5,52,170442,65.0
2573,Air Force One,1997,6.5,61,169199,65.0
2574,Scream 2,1997,6.1,63,146144,61.0
2575,Event Horizon,1997,6.7,35,145294,67.0
2576,Chasing Amy,1997,7.2,71,126434,72.0
2577,I Know What You Did Last Summer,1997,5.7,52,125106,57.0
2578,Lost Highway,1997,7.6,52,120299,76.0
2579,My Best Friend's Wedding,1997,6.3,50,119364,63.0
2580,Seven Years in Tibet,1997,7.1,55,114715,71.0
2581,Anastasia,1997,7.1,59,104185,71.0
2582,The Jackal,1997,6.4,36,100598,64.0
2583,The Full Monty,1997,7.2,75,93674,72.0
2584,Bean,1997,6.5,52,90808,65.0
2585,Anaconda,1997,4.8,37,88587,48.0
2586,Conspiracy Theory,1997,6.7,49,88474,67.0
2587,Grosse Pointe Blank,1997,7.3,76,83241,73.0
2588,Cop Land,1997,6.9,64,80388,69.0
2589,Flubber,1997,5.3,37,79065,53.0
2590,Wag the Dog,1997,7.2,73,75125,72.0
2591,Dante's Peak,1997,5.9,43,75096,59.0
2592,Titanic,1997,7.8,75,972177,78.0
2593,Good Will Hunting,1997,8.3,70,781316,83.0
2594,La vita è bella,1997,8.6,59,563951,86.0
2595,L.A. Confidential,1997,8.2,90,499711,82.0
2596,Men in Black,1997,7.3,71,484203,73.0
2597,The Fifth Element,1997,7.7,52,408189,77.0
2598,The Lost World: Jurassic Park,1997,6.6,59,351096,66.0
2599,Face/Off,1997,7.3,82,329904,73.0
2600,The Game,1997,7.8,61,319313,78.0
2601,The Devil's Advocate,1997,7.5,60,306152,75.0
2602,Mononoke-hime,1997,8.4,76,300631,84.0
2603,Jackie Brown,1997,7.5,64,290687,75.0
2604,Gattaca,1997,7.8,64,263993,78.0
2605,Liar Liar,1997,6.9,70,263421,69.0
2606,Con Air,1997,6.9,52,260341,69.0
2607,Donnie Brasco,1997,7.7,76,257766,77.0
2608,As Good as It Gets,1997,7.7,67,257627,77.0
2609,Starship Troopers,1997,7.2,51,253403,72.0
2610,Contact,1997,7.4,62,238504,74.0
2611,Boogie Nights,1997,7.9,85,222327,79.0
2612,Batman & Robin,1997,3.7,28,220898,37.0
2613,Alien: Resurrection,1997,6.2,63,213973,62.0
2614,Austin Powers: International Man of Mystery,1997,7.0,51,209584,70.0
2615,Cube,1997,7.2,61,195257,72.0
2616,Hercules,1997,7.3,74,186569,73.0
2617,Tomorrow Never Dies,1997,6.5,52,170442,65.0
2618,Air Force One,1997,6.5,61,169199,65.0
2619,Scream 2,1997,6.1,63,146144,61.0
2620,Event Horizon,1997,6.7,35,145294,67.0
2621,Chasing Amy,1997,7.2,71,126434,72.0
2622,I Know What You Did Last Summer,1997,5.7,52,125106,57.0
2623,Lost Highway,1997,7.6,52,120299,76.0
2624,My Best Friend's Wedding,1997,6.3,50,119364,63.0
2625,Seven Years in Tibet,1997,7.1,55,114715,71.0
2626,Anastasia,1997,7.1,59,104185,71.0
2627,The Jackal,1997,6.4,36,100598,64.0
2628,The Full Monty,1997,7.2,75,93674,72.0
2629,Bean,1997,6.5,52,90808,65.0
2630,Anaconda,1997,4.8,37,88587,48.0
2631,Conspiracy Theory,1997,6.7,49,88474,67.0
2632,Grosse Pointe Blank,1997,7.3,76,83241,73.0
2633,Cop Land,1997,6.9,64,80388,69.0
2634,Flubber,1997,5.3,37,79065,53.0
2635,Wag the Dog,1997,7.2,73,75125,72.0
2636,Dante's Peak,1997,5.9,43,75096,59.0
2637,Titanic,1997,7.8,75,972177,78.0
2638,Good Will Hunting,1997,8.3,70,781316,83.0
2639,La vita è bella,1997,8.6,59,563951,86.0
2640,L.A. Confidential,1997,8.2,90,499711,82.0
2641,Men in Black,1997,7.3,71,484203,73.0
2642,The Fifth Element,1997,7.7,52,408189,77.0
2643,The Lost World: Jurassic Park,1997,6.6,59,351096,66.0
2644,Face/Off,1997,7.3,82,329904,73.0
2645,The Game,1997,7.8,61,319313,78.0
2646,The Devil's Advocate,1997,7.5,60,306152,75.0
2647,Mononoke-hime,1997,8.4,76,300631,84.0
2648,Jackie Brown,1997,7.5,64,290687,75.0
2649,Gattaca,1997,7.8,64,263993,78.0
2650,Liar Liar,1997,6.9,70,263421,69.0
2651,Con Air,1997,6.9,52,260341,69.0
2652,Donnie Brasco,1997,7.7,76,257766,77.0
2653,As Good as It Gets,1997,7.7,67,257627,77.0
2654,Starship Troopers,1997,7.2,51,253403,72.0
2655,Contact,1997,7.4,62,238504,74.0
2656,Boogie Nights,1997,7.9,85,222327,79.0
2657,Batman & Robin,1997,3.7,28,220898,37.0
2658,Alien: Resurrection,1997,6.2,63,213973,62.0
2659,Austin Powers: International Man of Mystery,1997,7.0,51,209584,70.0
2660,Cube,1997,7.2,61,195257,72.0
2661,Hercules,1997,7.3,74,186569,73.0
2662,Tomorrow Never Dies,1997,6.5,52,170442,65.0
2663,Air Force One,1997,6.5,61,169199,65.0
2664,Scream 2,1997,6.1,63,146144,61.0
2665,Event Horizon,1997,6.7,35,145294,67.0
2666,Chasing Amy,1997,7.2,71,126434,72.0
2667,I Know What You Did Last Summer,1997,5.7,52,125106,57.0
2668,Lost Highway,1997,7.6,52,120299,76.0
2669,My Best Friend's Wedding,1997,6.3,50,119364,63.0
2670,Seven Years in Tibet,1997,7.1,55,114715,71.0
2671,Anastasia,1997,7.1,59,104185,71.0
2672,The Jackal,1997,6.4,36,100598,64.0
2673,The Full Monty,1997,7.2,75,93674,72.0
2674,Bean,1997,6.5,52,90808,65.0
2675,Anaconda,1997,4.8,37,88587,48.0
2676,Conspiracy Theory,1997,6.7,49,88474,67.0
2677,Grosse Pointe Blank,1997,7.3,76,83241,73.0
2678,Cop Land,1997,6.9,64,80388,69.0
2679,Flubber,1997,5.3,37,79065,53.0
2680,Wag the Dog,1997,7.2,73,75125,72.0
2681,Dante's Peak,1997,5.9,43,75096,59.0
2682,Titanic,1997,7.8,75,972177,78.0
2683,Good Will Hunting,1997,8.3,70,781316,83.0
2684,La vita è bella,1997,8.6,59,563951,86.0
2685,L.A. Confidential,1997,8.2,90,499711,82.0
2686,Men in Black,1997,7.3,71,484203,73.0
2687,The Fifth Element,1997,7.7,52,408189,77.0
2688,The Lost World: Jurassic Park,1997,6.6,59,351096,66.0
2689,Face/Off,1997,7.3,82,329904,73.0
2690,The Game,1997,7.8,61,319313,78.0
2691,The Devil's Advocate,1997,7.5,60,306152,75.0
2692,Mononoke-hime,1997,8.4,76,300631,84.0
2693,Jackie Brown,1997,7.5,64,290687,75.0
2694,Gattaca,1997,7.8,64,263993,78.0
2695,Liar Liar,1997,6.9,70,263421,69.0
2696,Con Air,1997,6.9,52,260341,69.0
2697,Donnie Brasco,1997,7.7,76,257766,77.0
2698,As Good as It Gets,1997,7.7,67,257627,77.0
2699,Starship Troopers,1997,7.2,51,253403,72.0
2700,Contact,1997,7.4,62,238504,74.0
2701,Boogie Nights,1997,7.9,85,222327,79.0
2702,Batman & Robin,1997,3.7,28,220898,37.0
2703,Alien: Resurrection,1997,6.2,63,213973,62.0
2704,Austin Powers: International Man of Mystery,1997,7.0,51,209584,70.0
2705,Cube,1997,7.2,61,195257,72.0
2706,Hercules,1997,7.3,74,186569,73.0
2707,Tomorrow Never Dies,1997,6.5,52,170442,65.0
2708,Air Force One,1997,6.5,61,169199,65.0
2709,Scream 2,1997,6.1,63,146144,61.0
2710,Event Horizon,1997,6.7,35,145294,67.0
2711,Chasing Amy,1997,7.2,71,126434,72.0
2712,I Know What You Did Last Summer,1997,5.7,52,125106,57.0
2713,Lost Highway,1997,7.6,52,120299,76.0
2714,My Best Friend's Wedding,1997,6.3,50,119364,63.0
2715,Seven Years in Tibet,1997,7.1,55,114715,71.0
2716,Anastasia,1997,7.1,59,104185,71.0
2717,The Jackal,1997,6.4,36,100598,64.0
2718,The Full Monty,1997,7.2,75,93674,72.0
2719,Bean,1997,6.5,52,90808,65.0
2720,Anaconda,1997,4.8,37,88587,48.0
2721,Conspiracy Theory,1997,6.7,49,88474,67.0
2722,Grosse Pointe Blank,1997,7.3,76,83241,73.0
2723,Cop Land,1997,6.9,64,80388,69.0
2724,Flubber,1997,5.3,37,79065,53.0
2725,Wag the Dog,1997,7.2,73,75125,72.0
2726,Dante's Peak,1997,5.9,43,75096,59.0
2727,Titanic,1997,7.8,75,972177,78.0
2728,Good Will Hunting,1997,8.3,70,781316,83.0
2729,La vita è bella,1997,8.6,59,563951,86.0
2730,L.A. Confidential,1997,8.2,90,499711,82.0
2731,Men in Black,1997,7.3,71,484203,73.0
2732,The Fifth Element,1997,7.7,52,408189,77.0
2733,The Lost World: Jurassic Park,1997,6.6,59,351096,66.0
2734,Face/Off,1997,7.3,82,329904,73.0
2735,The Game,1997,7.8,61,319313,78.0
2736,The Devil's Advocate,1997,7.5,60,306152,75.0
2737,Mononoke-hime,1997,8.4,76,300631,84.0
2738,Jackie Brown,1997,7.5,64,290687,75.0
2739,Gattaca,1997,7.8,64,263993,78.0
2740,Liar Liar,1997,6.9,70,263421,69.0
2741,Con Air,1997,6.9,52,260341,69.0
2742,Donnie Brasco,1997,7.7,76,257766,77.0
2743,As Good as It Gets,1997,7.7,67,257627,77.0
2744,Starship Troopers,1997,7.2,51,253403,72.0
2745,Contact,1997,7.4,62,238504,74.0
2746,Boogie Nights,1997,7.9,85,222327,79.0
2747,Batman & Robin,1997,3.7,28,220898,37.0
2748,Alien: Resurrection,1997,6.2,63,213973,62.0
2749,Austin Powers: International Man of Mystery,1997,7.0,51,209584,70.0
2750,Cube,1997,7.2,61,195257,72.0
2751,Hercules,1997,7.3,74,186569,73.0
2752,Tomorrow Never Dies,1997,6.5,52,170442,65.0
2753,Air Force One,1997,6.5,61,169199,65.0
2754,Scream 2,1997,6.1,63,146144,61.0
2755,Event Horizon,1997,6.7,35,145294,67.0
2756,Chasing Amy,1997,7.2,71,126434,72.0
2757,I Know What You Did Last Summer,1997,5.7,52,125106,57.0
2758,Lost Highway,1997,7.6,52,120299,76.0
2759,My Best Friend's Wedding,1997,6.3,50,119364,63.0
2760,Seven Years in Tibet,1997,7.1,55,114715,71.0
2761,Anastasia,1997,7.1,59,104185,71.0
2762,The Jackal,1997,6.4,36,100598,64.0
2763,The Full Monty,1997,7.2,75,93674,72.0
2764,Bean,1997,6.5,52,90808,65.0
2765,Anaconda,1997,4.8,37,88587,48.0
2766,Conspiracy Theory,1997,6.7,49,88474,67.0
2767,Grosse Pointe Blank,1997,7.3,76,83241,73.0
2768,Cop Land,1997,6.9,64,80388,69.0
2769,Flubber,1997,5.3,37,79065,53.0
2770,Wag the Dog,1997,7.2,73,75125,72.0
2771,Dante's Peak,1997,5.9,43,75096,59.0
2772,Titanic,1997,7.8,75,972177,78.0
2773,Good Will Hunting,1997,8.3,70,781316,83.0
2774,La vita è bella,1997,8.6,59,563951,86.0
2775,L.A. Confidential,1997,8.2,90,499711,82.0
2776,Men in Black,1997,7.3,71,484203,73.0
2777,The Fifth Element,1997,7.7,52,408189,77.0
2778,The Lost World: Jurassic Park,1997,6.6,59,351096,66.0
2779,Face/Off,1997,7.3,82,329904,73.0
2780,The Game,1997,7.8,61,319313,78.0
2781,The Devil's Advocate,1997,7.5,60,306152,75.0
2782,Mononoke-hime,1997,8.4,76,300631,84.0
2783,Jackie Brown,1997,7.5,64,290687,75.0
2784,Gattaca,1997,7.8,64,263993,78.0
2785,Liar Liar,1997,6.9,70,263421,69.0
2786,Con Air,1997,6.9,52,260341,69.0
2787,Donnie Brasco,1997,7.7,76,257766,77.0
2788,As Good as It Gets,1997,7.7,67,257627,77.0
2789,Starship Troopers,1997,7.2,51,253403,72.0
2790,Contact,1997,7.4,62,238504,74.0
2791,Boogie Nights,1997,7.9,85,222327,79.0
2792,Batman & Robin,1997,3.7,28,220898,37.0
2793,Alien: Resurrection,1997,6.2,63,213973,62.0
2794,Austin Powers: International Man of Mystery,1997,7.0,51,209584,70.0
2795,Cube,1997,7.2,61,195257,72.0
2796,Hercules,1997,7.3,74,186569,73.0
2797,Tomorrow Never Dies,1997,6.5,52,170442,65.0
2798,Air Force One,1997,6.5,61,169199,65.0
2799,Scream 2,1997,6.1,63,146144,61.0
2800,Event Horizon,1997,6.7,35,145294,67.0
2801,Chasing Amy,1997,7.2,71,126434,72.0
2802,I Know What You Did Last Summer,1997,5.7,52,125106,57.0
2803,Lost Highway,1997,7.6,52,120299,76.0
2804,My Best Friend's Wedding,1997,6.3,50,119364,63.0
2805,Seven Years in Tibet,1997,7.1,55,114715,71.0
2806,Anastasia,1997,7.1,59,104185,71.0
2807,The Jackal,1997,6.4,36,100598,64.0
2808,The Full Monty,1997,7.2,75,93674,72.0
2809,Bean,1997,6.5,52,90808,65.0
2810,Anaconda,1997,4.8,37,88587,48.0
2811,Conspiracy Theory,1997,6.7,49,88474,67.0
2812,Grosse Pointe Blank,1997,7.3,76,83241,73.0
2813,Cop Land,1997,6.9,64,80388,69.0
2814,Flubber,1997,5.3,37,79065,53.0
2815,Wag the Dog,1997,7.2,73,75125,72.0
2816,Dante's Peak,1997,5.9,43,75096,59.0
2817,Titanic,1997,7.8,75,972177,78.0
2818,Good Will Hunting,1997,8.3,70,781316,83.0
2819,La vita è bella,1997,8.6,59,563951,86.0
2820,L.A. Confidential,1997,8.2,90,499711,82.0
2821,Men in Black,1997,7.3,71,484203,73.0
2822,The Fifth Element,1997,7.7,52,408189,77.0
2823,The Lost World: Jurassic Park,1997,6.6,59,351096,66.0
2824,Face/Off,1997,7.3,82,329904,73.0
2825,The Game,1997,7.8,61,319313,78.0
2826,The Devil's Advocate,1997,7.5,60,306152,75.0
2827,Mononoke-hime,1997,8.4,76,300631,84.0
2828,Jackie Brown,1997,7.5,64,290687,75.0
2829,Gattaca,1997,7.8,64,263993,78.0
2830,Liar Liar,1997,6.9,70,263421,69.0
2831,Con Air,1997,6.9,52,260341,69.0
2832,Donnie Brasco,1997,7.7,76,257766,77.0
